类别,尺度,样本数量,loss,平均,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16
boat,S,57.0,2323.0570687520108,40.75538717108791,0.099,0.192,0.321,0.262,0.4,0.316,0.589,0.629,0.511,0.601,0.681,0.592,0.618,0.627,0.707,0.627
cow,S,55.0,2198.143936454343,39.96625339007896,0.05,0.168,0.076,0.352,0.332,0.14,0.261,0.329,0.406,0.54,0.434,0.62,0.491,0.559,0.619,0.559
chair,S,46.0,3761.0101229470006,81.76108962928262,0.065,0.078,0.125,0.164,0.234,0.179,0.267,0.366,0.322,0.367,0.387,0.44,0.435,0.493,0.514,0.493
tvmonitor,S,40.0,2214.1215565633997,55.35303891408499,0.0,0.002,0.032,0.112,0.155,0.155,0.356,0.369,0.382,0.407,0.399,0.429,0.431,0.586,0.544,0.586
motorbike,S,19.0,1599.2496639326,84.17103494382106,0.0,0.0,0.034,0.127,0.027,0.008,0.157,0.111,0.298,0.191,0.389,0.428,0.387,0.41,0.341,0.41
diningtable,M,8.0,1681.593199824999,210.19914997812486,0.0,0.002,0.011,0.041,0.06,0.11,0.031,0.099,0.149,0.115,0.158,0.145,0.155,0.162,0.191,0.162
aeroplane,S,2.0,179.5978,89.7989,0.246,0.302,0.347,0.341,0.513,0.469,0.525,0.593,0.689,0.547,0.649,0.55,0.58,0.626,0.573,0.626
train,S,0.0,0.0,0,0.0,0.333,0.0,0.556,0.0,0.667,0.0,0.667,0.556,0.333,0.333,0.667,0.667,0.333,0.667,0.333
sofa,S,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horse,S,0.0,0.0,0,0.0,0.0,0.202,0.255,0.222,0.333,0.143,0.459,0.667,0.616,0.556,0.556,0.651,0.556,0.651,0.556
diningtable,S,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,S,0.0,0.0,0,0.0,0.0,0.0,0.25,0.0,0.062,0.5,0.0,0.188,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bicycle,S,0.0,0.0,0,0.008,0.0,0.007,0.067,0.09,0.056,0.021,0.091,0.021,0.025,0.068,0.054,0.104,0.042,0.096,0.042
dog,S,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5
bus,S,0.0,0.0,0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.133,0.033,0.177,0.2,0.2,0.271,0.21,0.2,0.21
